59;164;Visa/MasterCard RUB;RUB Карта;643;3;10111111111111111111111111111111111111111110111111111111111111000000001111110111111111111111001111111010100010110011000100001101001001000000011101101111111110111010011100110011000000111111111100001000100101000000000000000000000
60;166;Visa/MasterCard UAH;UAH Карта;980;3;10111111111111111111111111111110011111111110101111111111111111100000001111110111111111111100011110000011110000110010001100011101001001111111111111101110111011111011111101110011000001000111111100011000000100000000000000010010000
46;132;Тинькофф cash-in;RUB ТКС cash-in;643;3;10000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
61;45;BAT (BAT);BAT;1002;0;11111111101111111111111111111111111111111110111111111111111111000000001111111111111111111111011010000000000011111100000100100101101011111111111111101111111111111111111111110111110001110111111001110000101100000001100110011110001
62;130;Альфа cash-in RUB;RUB Альфа cash-in;643;3;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;76;QIWI RUB;RUB QIWI;643;1;10111111111111111111111111111111111111111110111111111111111101100000001111111111111111111111001111100011101000110000000000001101011011111111111111111111111111111011111100000000000001111111101000101000100000000000000000011000000
64;135;Русский Стандарт;RUB РусСтандарт;643;3;10111111101111111111111111111111111111111110111111111111111101000000001111110111111111111100001110000000000011110000001000001000000000000000011101101111111100111110010111110111010000110010101101010000000100000000000000000000000
65;165;Visa/MasterCard EUR;EUR Карта;978;3;10111111101111111101111111111111111111111110111111111111111101000000001111110111111111011100001010011000000000100000000000000000000000000000000000000000000000111010000100000000000000000111001000000000100001000000000000000000000
57;139;Кукуруза;RUB Кукуруза;643;3;10101111101111111111111111110111011111111110111111111111000000000000001101110100011111011100001010000010000001100000000000000000000000000000000000001111111100000000010000000000000000000000100000000000000000000000000000000000000
66;161;Kaspi Bank;KZT KaspiBank;398;3;10011111001111111101111111111111111111111110111111111111001101000000001111111111111111011110001010000011000000100000000000000101001001100100000000000000000001111011110000000000000001000010001000000000000000000000000000000000000
67;207;WU USD;USD WU;840;4;10001101001111001110100001000110011110001000000001000100000001000000001100000000011100010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
68;151;Ощадбанк;UAH Ощадбанк;980;3;10111111111111111111111111111110011111011110101111111111111111100000001111110111111111111100011110000011100000110010001100101101001001111111111111101111111101101011111101110011000001000111110000011000000100000000000000010010000
69;186;Любой банк USD;USD Банк;840;3;10111111101111111111111111111111111111111110111101111111111101000000001111110111111111011100001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000
73;4;Wrapped BTC (WBTC);WBTC;967;0;10111111111111111111111111111111111111111110111111111111111111000000001111111111111111111100001010000000000010101000000100001101011011111111111111001111111111111111111111110111110001110111111001110000100100000000000000001000000
70;188;Любой банк EUR;EUR Банк;978;3;10111111101111111101111111111111111111111110111101111111111101000000001111110111111111011101001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000010100000
71;187;Любой банк RUB;RUB Банк;643;3;10111111101111111111111111111111111111111110111111111111111111000000001111110111111111111100001010000010001010110000000100000000000000000000000000001111111111111010111100110001000000110000111100001000000100000000000000000000000
72;98;Neteller USD;USD Neteller;840;1;10001101001111001101100001000100011110001000000001100100000000000000001100110000010100010110000000000000000000000000000000000101001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000
74;94;Paxum;USD Paxum;840;1;00000000000000000001100000000000000000000000000000000000000001000000001000110100010000010000001000000000000000000000000000000101000000000000000000001000000000000001010000000000000000000000000000000000000000000000000000011000000
11;93;Idram;AMD Idram;51;1;10000000000010000000100000000000000000000000000000000000000001000000101000000000001100011000001000000000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000
75;160;ForteBank;KZT ForteBank;398;3;10011111001111111101111111111111111111111110111111111111001101000000001111111111111111011100001010000011000000100000001000000101001001100100000000000000000001101011110000000000000001000010001000000000000000000000000000000000000
76;64;WMP;WMP;643;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
77;211;MoneyGram EUR;EUR MG;978;4;10001101001111001100100001000100011110001000000001000100000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;210;MoneyGram USD;USD MG;840;4;10001101001111001100100001000100011110001000000001000100000001000000001000010000010000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
79;136;Авангард;RUB Авангард;643;3;10111111101111111111111111111111111111111110111111111111111101000000001111110111111111111100001110000000000011110000000000001000000000000000000000101111111100000010010100110001000001110010100100000000000100000000000000000000000
80;80;PayPal EUR;EUR PayPal;978;1;10001001000000000000000000000000001000000000000000000000000001001001001100110000011100000011000000000000000000000000000000000101001001111111111111001111111101111011110100000000000000000000100000000000000000000000000000000110000
81;193;Любой банк GBP;GBP Банк;826;3;10001001001110101101101111110010011100001000001101111100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
82;54;Solana (SOL);SOL;1012;0;10111111111111111111111111111111111111111110111111111111111111000000001111111111111111111111001111111111011111111000000100101101111111111111111111111111111111111111111111111111010001110111111001110000101100111111111111111110001
83;175;Visa/MasterCard TRY;TRY Карта;949;3;10001101001111111101101111110110011110001000001101111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
84;154;Монобанк;UAH Монобанк;980;3;10111111111111111111111111111110011111111110101111111111111111100000001111110111111111111110011110000011110000110010001100111101001001111111111111101111111101101011111101110011000001000111110100011000000100000000000000010010000
85;97;Capitalist RUB;RUB Capitalist;643;1;10111111111111111111111111111111111111111110111111111111111101000000001111110111111111111100001000000010000010100010001000101101001001111111111111111111111111111111111111110111010001110111111001010000101111001001111001111000000
86;216;UNI USD;USD UNI;840;4;10000001000100000010000000000000000000000000000000000000000001000000001100000000010000010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
