1016;840;1.0548445317387
643;980;2.73825
980;949;2.1186
643;156;12.5049
566;840;415.32
643;978;89.1625
1019;840;4.0657926567719E-5
980;840;28.6658
980;156;4.5287
980;51;0.056813
980;643;0.36403
764;348;0.1038
974;980;0.091079
974;840;2.6237
974;978;2.9631
974;156;0.41504
974;643;0.03326
974;398;0.0060266
974;826;3.5446
978;840;0.88746893858715
566;156;65.6109
1015;967;21.015025743407
978;764;0.026824034334764
643;949;5.85657
997;967;337.75910345224
997;840;0.0088323123041642
978;156;0.14020329477743
156;949;0.4691
156;764;0.1916
156;643;0.0803
156;978;7.1476
398;392;3.82
398;752;46.89
398;203;20.09
398;826;586.69
398;980;15.18
398;860;0.0403
398;51;0.912
967;840;2.6371913068681E-5
967;978;2.9702252737657E-5
967;156;4.137308497953E-6
967;826;3.5602075601008E-5
967;643;3.3333222000372E-7
998;840;0.026371913068681
998;978;0.029702252737657
998;156;0.004137308497953
998;826;0.035602075601008
998;643;0.00033333222000372
996;840;6.7645487856553
860;840;10818
996;967;260416.66666667
826;156;0.11722230037042
998;348;7.8517609455595E-5
967;949;1.9311107523107E-6
967;348;7.85176094556E-8
398;949;32.16
643;840;79.065
998;949;0.0019311107523107
1001;104;25.348542458809
987;967;127.1132579128
980;978;32.3021
992;840;0.010715155593961
992;967;408.33159792404
993;840;0.00039456705699694
993;967;15.00552278266
51;840;482.26
51;974;184.34
51;860;0.045
51;980;16.83
51;643;6.14
51;498;26.87
51;398;1.108
51;156;76.04
764;985;8.13
498;752;1.9309
643;826;106.9025
764;704;0.001456
764;643;0.4188
764;203;1.5201
764;784;8.9733
764;156;5.2174
398;764;13.17
51;752;51.96
840;498;0.055924720851756
991;967;255.35152968334
991;840;0.0067452448319847
990;840;0.040235057422094
990;967;1534.8958573161
1016;967;40052.067687994
980;860;0.002517
1016;993;2670.6191830576
1015;840;0.00055327391540331
764;578;3.6884
989;967;60240.963855422
989;840;1.5882404138573
988;967;412.30312525769
988;993;27.124307991092
988;840;0.010836174349424
51;392;4.228
980;826;38.5698
978;643;0.011269078549985
967;764;7.8542944804189E-7
998;764;0.00078542944804189
156;392;0.055519
398;643;5.54
978;826;1.1945575955945
398;985;107.28
995;840;0.010871172260247
566;978;468.1487
566;826;558.1901
990;993;101.90438922585
986;967;382848.39203675
986;840;10.087656692832
980;356;0.38334
987;840;0.003344806017975
995;967;412.88191577209
643;398;0.181167
980;764;0.81605
643;51;0.163445
156;356;0.084583
985;840;4.0684
156;360;0.000441
980;398;0.065997
348;840;318.64
1012;993;26.107854156305
986;993;25527.135344872
980;974;10.9529
1019;967;1.5440438508454
981;784;0.83637
498;981;5.8634
981;51;0.0063834
983;993;1113.399766186
983;967;16716.817118021
983;840;0.43998301665556
984;967;2004.6106043901
984;993;133.68715867997
984;840;0.05280813879035
104;967;665048.38226981
104;993;44327.223564352
104;840;17.509485763913
103;967;1292.9919834497
103;993;85.870078571122
103;840;0.03404023555843
100;967;35789.059284577
100;993;2383.3129957291
100;840;0.9416057985215
101;967;190476.19047619
101;840;5.0068343288589
982;840;1.1960649463266
982;978;1.3494092960806
982;967;45402.951191827
982;993;3028.2841741869
105;993;580.06322689173
105;967;8707.0091423596
105;840;0.22922725429532
996;993;17244.352474565
997;993;22.388243485581
106;840;0.096621203379116
106;967;3676.7409368336
106;993;244.13466468104
764;752;3.5591
764;124;26.1188
107;967;3776435.0453172
107;993;250959.9217005
107;840;100.10771590231
108;967;70432.455275391
108;993;4695.4970183594
108;840;1.8541403417366
643;974;30.34
